 'Grigor Dimitrov'  'd875'  'grigor-dimitrov'
 'Kei Nishikori'  'n552'  'kei-nishikori'
 'Milos Raonic'  'r975'  'milos-raonic'
 'Stan Wawrinka'  'w367'  'stan-wawrinka'
 'Dominic Thiem'  'tb69'  'dominic-thiem'
 'Rafael Nadal'  'n409'  'rafael-nadal'
 'Kyle Edmund'  'e831'  'kyle-edmund'
 'Jordan Thompson'  'tc61'  'jordan-thompson'
 'Lucas Pouille'  'pf39'  'lucas-pouille'
 'David Ferrer'  'f401'  'david-ferrer'
 'Jared Donaldson'  'dc58'  'jared-donaldson'
 'Sam Groth'  'g940'  'sam-groth'
 'Nicolas Mahut'  'm873'  'nicolas-mahut'
 'Diego Schwartzman'  'sm37'  'diego-schwartzman'
 'Viktor Troicki'  't840'  'viktor-troicki'
 'Mischa Zverev'  'z168'  'mischa-zverev'
 'Yoshihito Nishioka'  'n732'  'yoshihito-nishioka'
 'Alex de Minaur'  'dh58'  'alex-de-minaur'
 'Ernesto Escobedo'  'e873'  'ernesto-escobedo'
 'Ivan Dodig'  'd646'  'ivan-dodig'
 'Frances Tiafoe'  'td51'  'frances-tiafoe'
 'Tim Smyczek'  'sf62'  'tim-smyczek'
 'John-Patrick Smith'  'sj55'  'john-patrick-smith'
 'Novak Djokovic'  'd643'  'novak-djokovic'
 'Andy Murray'  'mc10'  'andy-murray'
 'Tomas Berdych'  'ba47'  'tomas-berdych'
 'Fernando Verdasco'  'v306'  'fernando-verdasco'
 'Jo-Wilfried Tsonga'  't786'  'jo-wilfried-tsonga'
 'Ivo Karlovic'  'k336'  'ivo-karlovic'
 'Nicolas Almagro'  'a479'  'nicolas-almagro'
 'Radek Stepanek'  's694'  'radek-stepanek'
 'David Goffin'  'gb88'  'david-goffin'
 'Philipp Kohlschreiber'  'k435'  'philipp-kohlschreiber'
 'Dustin Brown'  'ba65'  'dustin-brown'
 'Arthur De Greef'  'd981'  'arthur-de-greef'
 'Karen Khachanov'  'ke29'  'karen-khachanov'
 'Gerald Melzer'  'mi43'  'gerald-melzer'
 'Jiri Vesely'  'v708'  'jiri-vesely'
 'Horacio Zeballos'  'z184'  'horacio-zeballos'
 'Vasek Pospisil'  'pd07'  'vasek-pospisil'
 'Alessandro Giannessi'  'g983'  'alessandro-giannessi'
 'Mohamed Safwat'  'sk47'  'mohamed-safwat'
 'Nikoloz Basilashvili'  'bg23'  'nikoloz-basilashvili'
 'Mirza Basic'  'be67'  'mirza-basic'
 'Vincent Millot'  'me31'  'vincent-millot'
 'Enrique Lopez Perez'  'la93'  'enrique-lopez-perez'
 'Roberto Bautista Agut'  'bd06'  'roberto-bautista-agut'
